first_order	second_order	first_environment	second_environment	result
06	12	i5-4200U(Haswell)	Ryzen 7 1700X(Zen)	○
07	01	i3-6006U(Skylake)	Xeon E3-1230 V2(Sandy Bridge)	×
07	02	i3-6006U(Skylake)	i5-3337U(Ivy Bridge)	×
07	03	i3-6006U(Skylake)	i7-3770(Ivy Bridge)	×
07	04	i3-6006U(Skylake)	i7-3770K(Ivy Bridge)	×
07	05	i3-6006U(Skylake)	Celeron 2957U(Haswell)	×
07	06	i3-6006U(Skylake)	i5-4200U(Haswell)	○
07	07	i3-6006U(Skylake)	i3-6006U(Skylake)	ー
07	08	i3-6006U(Skylake)	i7-6700HQ(Skylake)	○
07	09	i3-6006U(Skylake)	i5-7200U(Kaby Lake)	○
07	10	i3-6006U(Skylake)	i5-7600(Kaby Lake)	○
07	11	i3-6006U(Skylake)	i7-8086K(Coffee Lake)	○
07	12	i3-6006U(Skylake)	Ryzen 7 1700X(Zen)	○
08	01	i7-6700HQ(Skylake)	Xeon E3-1230 V2(Sandy Bridge)	×
08	02	i7-6700HQ(Skylake)	i5-3337U(Ivy Bridge)	×
08	03	i7-6700HQ(Skylake)	i7-3770(Ivy Bridge)	×
08	04	i7-6700HQ(Skylake)	i7-3770K(Ivy Bridge)	×
08	05	i7-6700HQ(Skylake)	Celeron 2957U(Haswell)	×
08	06	i7-6700HQ(Skylake)	i5-4200U(Haswell)	○
08	07	i7-6700HQ(Skylake)	i3-6006U(Skylake)	○
08	08	i7-6700HQ(Skylake)	i7-6700HQ(Skylake)	ー
08	09	i7-6700HQ(Skylake)	i5-7200U(Kaby Lake)	○
08	10	i7-6700HQ(Skylake)	i5-7600(Kaby Lake)	○
08	11	i7-6700HQ(Skylake)	i7-8086K(Coffee Lake)	○
08	12	i7-6700HQ(Skylake)	Ryzen 7 1700X(Zen)	○
09	01	i5-7200U(Kaby Lake)	Xeon E3-1230 V2(Sandy Bridge)	×
09	02	i5-7200U(Kaby Lake)	i5-3337U(Ivy Bridge)	×
09	03	i5-7200U(Kaby Lake)	i7-3770(Ivy Bridge)	×
09	04	i5-7200U(Kaby Lake)	i7-3770K(Ivy Bridge)	×
09	05	i5-7200U(Kaby Lake)	Celeron 2957U(Haswell)	×
09	06	i5-7200U(Kaby Lake)	i5-4200U(Haswell)	○
09	07	i5-7200U(Kaby Lake)	i3-6006U(Skylake)	○
09	08	i5-7200U(Kaby Lake)	i7-6700HQ(Skylake)	○
09	09	i5-7200U(Kaby Lake)	i5-7200U(Kaby Lake)	ー
09	10	i5-7200U(Kaby Lake)	i5-7600(Kaby Lake)	○
09	11	i5-7200U(Kaby Lake)	i7-8086K(Coffee Lake)	○
09	12	i5-7200U(Kaby Lake)	Ryzen 7 1700X(Zen)	○
10	01	i5-7600(Kaby Lake)	Xeon E3-1230 V2(Sandy Bridge)	×
10	02	i5-7600(Kaby Lake)	i5-3337U(Ivy Bridge)	×
10	03	i5-7600(Kaby Lake)	i7-3770(Ivy Bridge)	×
10	04	i5-7600(Kaby Lake)	i7-3770K(Ivy Bridge)	×
10	05	i5-7600(Kaby Lake)	Celeron 2957U(Haswell)	×
10	06	i5-7600(Kaby Lake)	i5-4200U(Haswell)	○
10	07	i5-7600(Kaby Lake)	i3-6006U(Skylake)	○
10	08	i5-7600(Kaby Lake)	i7-6700HQ(Skylake)	○
10	09	i5-7600(Kaby Lake)	i5-7200U(Kaby Lake)	○
10	10	i5-7600(Kaby Lake)	i5-7600(Kaby Lake)	ー
10	11	i5-7600(Kaby Lake)	i7-8086K(Coffee Lake)	○
10	12	i5-7600(Kaby Lake)	Ryzen 7 1700X(Zen)	○
11	01	i7-8086K(Coffee Lake)	Xeon E3-1230 V2(Sandy Bridge)	×
11	02	i7-8086K(Coffee Lake)	i5-3337U(Ivy Bridge)	×
11	03	i7-8086K(Coffee Lake)	i7-3770(Ivy Bridge)	×
11	04	i7-8086K(Coffee Lake)	i7-3770K(Ivy Bridge)	×
11	05	i7-8086K(Coffee Lake)	Celeron 2957U(Haswell)	×
11	06	i7-8086K(Coffee Lake)	i5-4200U(Haswell)	○
11	07	i7-8086K(Coffee Lake)	i3-6006U(Skylake)	○
11	08	i7-8086K(Coffee Lake)	i7-6700HQ(Skylake)	○
11	09	i7-8086K(Coffee Lake)	i5-7200U(Kaby Lake)	○
11	10	i7-8086K(Coffee Lake)	i5-7600(Kaby Lake)	○
11	11	i7-8086K(Coffee Lake)	i7-8086K(Coffee Lake)	ー
11	12	i7-8086K(Coffee Lake)	Ryzen 7 1700X(Zen)	○
12	01	Ryzen 7 1700X(Zen)	Xeon E3-1230 V2(Sandy Bridge)	×
12	02	Ryzen 7 1700X(Zen)	i5-3337U(Ivy Bridge)	×
12	03	Ryzen 7 1700X(Zen)	i7-3770(Ivy Bridge)	×
12	04	Ryzen 7 1700X(Zen)	i7-3770K(Ivy Bridge)	×
12	05	Ryzen 7 1700X(Zen)	Celeron 2957U(Haswell)	×
12	06	Ryzen 7 1700X(Zen)	i5-4200U(Haswell)	○
12	07	Ryzen 7 1700X(Zen)	i3-6006U(Skylake)	○
12	08	Ryzen 7 1700X(Zen)	i7-6700HQ(Skylake)	○
12	09	Ryzen 7 1700X(Zen)	i5-7200U(Kaby Lake)	○
12	10	Ryzen 7 1700X(Zen)	i5-7600(Kaby Lake)	○
12	11	Ryzen 7 1700X(Zen)	i7-8086K(Coffee Lake)	○
12	12	Ryzen 7 1700X(Zen)	Ryzen 7 1700X(Zen)	ー
